,jur_stn,year,상반기,파출소수,경찰관수,5대범죄발생건,5대범죄검거건,5대범죄검거율,전체인구,전체성비,0대 비율,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,60대 비율,외국인수,외국인비율,계,초등학교,중학교,고등학교,"대학교(2,3년제)",대학교(4년제 이상),대학원(석박사 과정),받지 않았음(미취학 포함),1인당 담당인구수,기초생활자수,지방세징수액,1인가구비율,절폭신고비율,강살신고비율,교통신고비율,질서신고비율
24,마산중부경찰서,2017,0,8,142,1432,350,0.24441340782122906,178751,100.1,0.0784051557753523,0.08931418565490543,0.117554587107205,0.13663140346067995,0.1474005739828029,0.17131652410336165,0.2593048430498291,2583,0.014450268809684981,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.22868050584586014,0.026790742066332616,0.04195657361011692,1258,0.15902568377239848,279864,0.0534169526,0.08651577617320072,0.0020706169297000088,0.12480707918018652,0.35320633094670484
25,마산중부경찰서,2017,1,8,142,1432,365,0.25488826815642457,178751,100.1,0.0784051557753523,0.08931418565490543,0.117554587107205,0.13663140346067995,0.1474005739828029,0.17131652410336165,0.2593048430498291,2583,0.014450268809684981,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.22868050584586014,0.026790742066332616,0.04195657361011692,1258,0.05293396960017007,279864,0.0534169526,0.08492766605036195,0.0017952286414129048,0.1261875952008893,0.36193104368612694
26,마산중부경찰서,2018,0,8,142,1458,349,0.2393689986282579,178431,99.7,0.0773071943776586,0.08596039925797648,0.11727222287606975,0.1325890680431091,0.14422942201747455,0.17048046583833526,0.27210518351631724,2873,0.01610146218986611,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.22868050584586014,0.026790742066332616,0.04195657361011692,1256,0.1664452925780834,251555,0.054227713399999995,0.0888268744734625,0.002632687447346251,0.1361099410278012,0.3424073294018534
27,마산중부경찰서,2018,1,8,142,1458,345,0.2366255144032922,178431,99.7,0.0773071943776586,0.08596039925797648,0.11727222287606975,0.1325890680431091,0.14422942201747455,0.17048046583833526,0.27210518351631724,2873,0.01610146218986611,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.22868050584586014,0.026790742066332616,0.04195657361011692,1256,0.1574390100374935,251555,0.054227713399999995,0.08367933567550304,0.0009581603321622484,0.13350367294793997,0.36793356755030343
28,마산중부경찰서,2019,0,8,142,1150,304,0.2643478260869565,177579,99.8,0.0743274824162767,0.08388379256556237,0.11778982875227365,0.1261410414519735,0.14288288592682696,0.16782952939255205,0.2870834952331075,3145,0.017710427471716812,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.22868050584586014,0.026790742066332616,0.04195657361011692,1250,0.1932886208391758,266274,0.0559689138,0.07867757712565839,0.0020221971407072986,0.13558126410835214,0.3445729872084274
29,마산중부경찰서,2019,1,8,142,1150,311,0.27043478260869563,177579,99.8,0.0743274824162767,0.08388379256556237,0.11778982875227365,0.1261410414519735,0.14288288592682696,0.16782952939255205,0.2870834952331075,3145,0.017710427471716812,104775,0.13901216893342874,0.11926509186351708,0.3264232879980912,0.1178716296826533,0.22868050584586014,0.026790742066332616,0.04195657361011692,1250,0.18430107163572268,266274,0.0559689138,0.09004254402498789,0.0022618342398621357,0.1266088642360924,0.3426140341429264
30,진주경찰서,2017,0,13,289,1723,828,0.4805571677307023,353209,100.1,0.08707026151655252,0.11425813045533947,0.14003890048101833,0.13033642970592482,0.16274217248144865,0.1592343343459538,0.20624899139036665,5638,0.01596222066821627,239657,0.15045669435902145,0.11282791656408953,0.26811234389147826,0.11548170927617385,0.2673904788927509,0.04277780327718364,0.042953053739302416,1222,0.1956745156550371,391361,0.302666502,0.09623577179104359,0.0035485494311160437,0.15005874044143752,0.356502991184243
31,진주경찰서,2017,1,13,289,1816,792,0.4361233480176212,353209,100.1,0.08707026151655252,0.11425813045533947,0.14003890048101833,0.13033642970592482,0.16274217248144865,0.1592343343459538,0.20624899139036665,5638,0.01596222066821627,239657,0.15045669435902145,0.11282791656408953,0.26811234389147826,0.11548170927617385,0.2673904788927509,0.04277780327718364,0.042953053739302416,1222,0.06556458074397878,391361,0.302666502,0.09481953926660935,0.003197933012984322,0.1509875819938884,0.36694743223142723
32,진주경찰서,2018,0,13,289,1720,687,0.3994186046511628,352333,100.1,0.08471815015908246,0.10987049183584847,0.14159616045048293,0.12767183318054226,0.15914489985326385,0.1609159516707206,0.2160087190243321,6492,0.018425750639309967,239657,0.15045669435902145,0.11282791656408953,0.26811234389147826,0.11548170927617385,0.2673904788927509,0.04277780327718364,0.042953053739302416,1219,0.19969176886638493,379248,0.305450855,0.09541691306918983,0.003932584269662922,0.14497338852749853,0.34328799526907156
33,진주경찰서,2018,1,13,289,1718,953,0.5547147846332945,352333,100.1,0.08471815015908246,0.10987049183584847,0.14159616045048293,0.12767183318054226,0.15914489985326385,0.1609159516707206,0.2160087190243321,6492,0.018425750639309967,239657,0.15045669435902145,0.11282791656408953,0.26811234389147826,0.11548170927617385,0.2673904788927509,0.04277780327718364,0.042953053739302416,1219,0.19336820564636292,379248,0.305450855,0.09984039723355205,0.00407873736478099,0.15570136549033517,0.3704557545664125
34,진주경찰서,2019,0,13,289,1246,567,0.4550561797752809,354166,99.7,0.08335639220026766,0.1050016094147942,0.14208591451466265,0.1255287068775659,0.15562193999423998,0.1632878367771045,0.2250441883184721,7152,0.02019392036502657,239657,0.15045669435902145,0.11282791656408953,0.26811234389147826,0.11548170927617385,0.2673904788927509,0.04277780327718364,0.042953053739302416,1225,0.2181801753979772,378908,0.31270342100000004,0.08924449516300542,0.003786601654693052,0.15447259900925903,0.36136110174546776
35,진주경찰서,2019,1,13,289,1519,610,0.40157998683344304,354166,99.7,0.08335639220026766,0.1050016094147942,0.14208591451466265,0.1255287068775659,0.15562193999423998,0.1632878367771045,0.2250441883184721,7152,0.02019392036502657,239657,0.15045669435902145,0.11282791656408953,0.26811234389147826,0.11548170927617385,0.2673904788927509,0.04277780327718364,0.042953053739302416,1225,0.21174816329066032,378908,0.31270342100000004,0.08910746172535933,0.0029858610696408185,0.149702877550423,0.370071133749012
36,진해경찰서,2017,0,6,137,1484,354,0.23854447439353102,186658,105.4,0.1195555507934297,0.1043244864940158,0.10003321582787772,0.1728562397539886,0.17672963387585852,0.14440849039419687,0.18202809416151464,4344,0.023272509080778752,141133,0.1379833206974981,0.11262426222074215,0.34040940106141016,0.14950436822004776,0.20350307865630293,0.02666987876683696,0.029305690377161967,1362,0.1522892134277663,279864,0.0534169526,0.10086646168997504,0.0025026122992812816,0.14105392865286603,0.35416819634610874
37,진해경찰서,2017,1,6,137,1484,427,0.28773584905660377,186658,105.4,0.1195555507934297,0.1043244864940158,0.10003321582787772,0.1728562397539886,0.17672963387585852,0.14440849039419687,0.18202809416151464,4344,0.023272509080778752,141133,0.1379833206974981,0.11262426222074215,0.34040940106141016,0.14950436822004776,0.20350307865630293,0.02666987876683696,0.029305690377161967,1362,0.050691639254679684,279864,0.0534169526,0.09968575639663868,0.002184815564191922,0.14354241382062582,0.3633374267046747
38,진해경찰서,2018,0,6,137,1441,354,0.2456627342123525,190276,105.4,0.11462822426370115,0.1038754230696462,0.10049086590006097,0.16768273455401628,0.17702705543526245,0.14602997750635918,0.1902026529882907,4651,0.024443440055498332,141133,0.1379833206974981,0.11262426222074215,0.34040940106141016,0.14950436822004776,0.20350307865630293,0.02666987876683696,0.029305690377161967,1388,0.156083794067565,251555,0.054227713399999995,0.0903648120060669,0.0021553444559750936,0.15662169713419016,0.36648838508820947
39,진해경찰서,2018,1,6,137,1441,368,0.25537820957668284,190276,105.4,0.11462822426370115,0.1038754230696462,0.10049086590006097,0.16768273455401628,0.17702705543526245,0.14602997750635918,0.1902026529882907,4651,0.024443440055498332,141133,0.1379833206974981,0.11262426222074215,0.34040940106141016,0.14950436822004776,0.20350307865630293,0.02666987876683696,0.029305690377161967,1388,0.1476381677142677,251555,0.054227713399999995,0.09804878048780488,0.0024390243902439024,0.13414634146341464,0.37414634146341463
40,진해경찰서,2019,0,6,137,1196,306,0.2558528428093645,190885,105.7,0.1092961730885088,0.10291012913534328,0.10023836341252587,0.1588652853812505,0.18006129344893526,0.14800010477512635,0.20059197946407525,4917,0.025758964821751315,141133,0.1379833206974981,0.11262426222074215,0.34040940106141016,0.14950436822004776,0.20350307865630293,0.02666987876683696,0.029305690377161967,1393,0.1798150719019305,266274,0.0559689138,0.09389763779527559,0.0013779527559055118,0.14286417322834646,0.3452263779527559
41,진해경찰서,2019,1,6,137,1196,317,0.26505016722408026,190885,105.7,0.1092961730885088,0.10291012913534328,0.10023836341252587,0.1588652853812505,0.18006129344893526,0.14800010477512635,0.20059197946407525,4917,0.025758964821751315,141133,0.1379833206974981,0.11262426222074215,0.34040940106141016,0.14950436822004776,0.20350307865630293,0.02666987876683696,0.029305690377161967,1393,0.1714540168164078,266274,0.0559689138,0.10441962117532783,0.001942690626517727,0.15665641357724894,0.3507635853434785
42,창원서부경찰서,2017,0,6,155,855,328,0.383625730994152,250560,104.7,0.08506146232439336,0.10090597062579823,0.14465197956577264,0.14326708173690933,0.16896551724137931,0.1880308109833972,0.16906529374201787,4834,0.019292784163473815,205920,0.10149087024087024,0.10217074592074593,0.36709887334887337,0.14404137529137528,0.23979700854700856,0.02410159285159285,0.0212995337995338,1616,0.11344987228607918,279864,0.0534169526,0.08654748192543593,0.001947413825178046,0.1457734662041048,0.3270757280779435
43,창원서부경찰서,2017,1,6,155,969,372,0.3839009287925697,250560,104.7,0.08506146232439336,0.10090597062579823,0.14465197956577264,0.14326708173690933,0.16896551724137931,0.1880308109833972,0.16906529374201787,4834,0.019292784163473815,205920,0.10149087024087024,0.10217074592074593,0.36709887334887337,0.14404137529137528,0.23979700854700856,0.02410159285159285,0.0212995337995338,1616,0.03776340996168583,279864,0.0534169526,0.08669511988978229,0.001650718594760292,0.14770122562410393,0.33409843829667807
44,창원서부경찰서,2018,0,6,155,944,353,0.3739406779661017,251931,104.4,0.08447948049267458,0.09601041555028957,0.1426739861311232,0.1422294199602272,0.16248893546248774,0.19130634975449626,0.180759811218151,5074,0.020140435277913395,205920,0.10149087024087024,0.10217074592074593,0.36709887334887337,0.14404137529137528,0.23979700854700856,0.02410159285159285,0.0212995337995338,1625,0.11788545276285968,251555,0.054227713399999995,0.08834070281591808,0.002653013730509658,0.14838259250639982,0.33358156853618803
45,창원서부경찰서,2018,1,6,155,861,478,0.5551684088269454,251931,104.4,0.08447948049267458,0.09601041555028957,0.1426739861311232,0.1422294199602272,0.16248893546248774,0.19130634975449626,0.180759811218151,5074,0.020140435277913395,205920,0.10149087024087024,0.10217074592074593,0.36709887334887337,0.14404137529137528,0.23979700854700856,0.02410159285159285,0.0212995337995338,1625,0.1115067220786644,251555,0.054227713399999995,0.08865347086701979,0.0019514914970727628,0.14608307778087537,0.34959576247560636
46,창원서부경찰서,2019,0,6,155,803,520,0.6475716064757161,256001,104.2,0.08338639302190226,0.09156995480486403,0.1401088276998918,0.14137835399080473,0.15779235237362355,0.19426877238760787,0.19144065843492802,5100,0.01992179718047976,205920,0.10149087024087024,0.10217074592074593,0.36709887334887337,0.14404137529137528,0.23979700854700856,0.02410159285159285,0.0212995337995338,1651,0.13407760125937007,266274,0.0559689138,0.0872161960388213,0.0020201133020069386,0.13960739537130562,0.3437266698871371
47,창원서부경찰서,2019,1,6,155,858,337,0.3927738927738928,256001,104.2,0.08338639302190226,0.09156995480486403,0.1401088276998918,0.14137835399080473,0.15779235237362355,0.19426877238760787,0.19144065843492802,5100,0.01992179718047976,205920,0.10149087024087024,0.10217074592074593,0.36709887334887337,0.14404137529137528,0.23979700854700856,0.02410159285159285,0.0212995337995338,1651,0.12784325061230228,266274,0.0559689138,0.09442724458204334,0.0030460401478078496,0.14650953760111854,0.3290222710476381
48,창원중부경찰서,2017,0,6,201,1230,538,0.4373983739837398,226726,109.0,0.08742270405687923,0.1186674664573097,0.15021215034887928,0.15135449838130607,0.1878919929783086,0.19325529493750165,0.11118707161948783,4937,0.021775182378730273,192893,0.09589772568211392,0.08350743676546064,0.32743541756310496,0.14531890737351796,0.28558319897559786,0.044760566739072964,0.017496746901131715,1127,0.1253760045164648,279864,0.0534169526,0.09879004041749795,0.0015877306245783984,0.15193021003591411,0.35415514915530366
49,창원중부경찰서,2017,1,6,201,1205,582,0.4829875518672199,226726,109.0,0.08742270405687923,0.1186674664573097,0.15021215034887928,0.15135449838130607,0.1878919929783086,0.19325529493750165,0.11118707161948783,4937,0.021775182378730273,192893,0.09589772568211392,0.08350743676546064,0.32743541756310496,0.14531890737351796,0.28558319897559786,0.044760566739072964,0.017496746901131715,1127,0.0417331933699708,279864,0.0534169526,0.09736298883854033,0.0013367847839163005,0.15387023643771158,0.3620980995656282
50,창원중부경찰서,2018,0,6,201,1259,604,0.4797458300238284,225894,108.8,0.08460605416699868,0.1114593570435691,0.1508716477639955,0.15254942583689696,0.17912826369890306,0.1993324302548983,0.12203068695937032,5101,0.022581387730528483,192893,0.09589772568211392,0.08350743676546064,0.32743541756310496,0.14531890737351796,0.28558319897559786,0.044760566739072964,0.017496746901131715,1123,0.13147316883139878,251555,0.054227713399999995,0.10173763098554185,0.0016359375690852013,0.1555909271786709,0.3506654286598576
51,창원중부경찰서,2018,1,6,201,1196,621,0.5192307692307693,225894,108.8,0.08460605416699868,0.1114593570435691,0.1508716477639955,0.15254942583689696,0.17912826369890306,0.1993324302548983,0.12203068695937032,5101,0.022581387730528483,192893,0.09589772568211392,0.08350743676546064,0.32743541756310496,0.14531890737351796,0.28558319897559786,0.044760566739072964,0.017496746901131715,1123,0.12435921272809372,251555,0.054227713399999995,0.09611878093253451,0.0018233915082052619,0.14925761917165928,0.3693670226621516
52,창원중부경찰서,2019,0,6,201,867,661,0.76239907727797,219951,108.6,0.08180913021536615,0.1055053170933526,0.14555514637351047,0.15123368386595196,0.17455251396902038,0.204440989129397,0.13687594055039531,5191,0.023600711067465027,192893,0.09589772568211392,0.08350743676546064,0.32743541756310496,0.14531890737351796,0.28558319897559786,0.044760566739072964,0.017496746901131715,1094,0.15605293906370055,266274,0.0559689138,0.08820541563036396,0.002837425999229341,0.16204855151154238,0.36161418012400603
53,창원중부경찰서,2019,1,6,201,1278,647,0.5062597809076682,219951,108.6,0.08180913021536615,0.1055053170933526,0.14555514637351047,0.15123368386595196,0.17455251396902038,0.204440989129397,0.13687594055039531,5191,0.023600711067465027,192893,0.09589772568211392,0.08350743676546064,0.32743541756310496,0.14531890737351796,0.28558319897559786,0.044760566739072964,0.017496746901131715,1094,0.14879677746407155,266274,0.0559689138,0.09771602588503997,0.002550437761705367,0.16189569851541682,0.34788732394366195
54,서울강남경찰서,2017,0,8,421,2330,902,0.3871244635193133,261257,91.8,0.07428126327715621,0.10911669352400127,0.13633701680720514,0.16699839621522106,0.18368694427326349,0.1506275429940633,0.17888133140930196,3827,0.014648411334433144,491494,0.07547599767240291,0.057791142923413114,0.18773169153641756,0.08243437356305469,0.43441018608568976,0.14911677456896727,0.013039833650054731,620,0.1229517295230367,1401459,0.151358207,0.07597226443158434,0.00179128947161189,0.14981694161741643,0.2474572646060551
55,서울강남경찰서,2017,1,8,421,2397,940,0.392156862745098,261257,91.8,0.07428126327715621,0.10911669352400127,0.13633701680720514,0.16699839621522106,0.18368694427326349,0.1506275429940633,0.17888133140930196,3827,0.014648411334433144,491494,0.07547599767240291,0.057791142923413114,0.18773169153641756,0.08243437356305469,0.43441018608568976,0.14911677456896727,0.013039833650054731,620,0.04104004868769066,1401459,0.151358207,0.0755830540210809,0.0015204680505576107,0.1514743409341861,0.25450752014421596
